codigo_ibge,distribuidora
4105904,COPEL DISTRIB
1506708,CELPA
2611309,CELPE
3103009,CEMIG DISTRIB
4109658,COPEL DISTRIB
4309654,CEEE DISTRIB
3168606,CEMIG DISTRIB
2609808,CELPE
3138401,ENERGISA MR
4115358,COPEL DISTRIB
3126109,CEMIG DISTRIB
4306601,CEEE DISTRIB
3519600,CPFL PAULISTA
4117503,COPEL DISTRIB
3514106,CPFL PAULISTA
5107701,ENERGISA MT
3555406,ELEKTRO
3546207,ELEKTRO
3517208,CPFL PAULISTA
3525854,ELEKTRO
5203906,CELG
3139409,ENERGISA MR
3553708,CPFL PAULISTA
4112405,COPEL DISTRIB
2613909,CELPE
3556404,ELEKTRO
5217609,CELG
3203908,ESCELSA
5205513,CELG
4114302,COPEL DISTRIB
4102406,COPEL DISTRIB
3302502,AMPLA
3505203,CPFL PAULISTA
2203909,CEPISA
4209409,CELESC DIST
3162500,CEMIG DISTRIB
3515103,ELETROPAULO
2803203,ENERGISA SE
3518602,CPFL PAULISTA
4214409,CELESC DIST
4124020,COPEL DISTRIB
4204004,CELESC DIST
3544103,ELETROPAULO
4206603,CELESC DIST
4310108,RGE SUL
3123601,CEMIG DISTRIB
5003751,ENERGISA MS
4207684,CELESC DIST
4315149,RGE SUL
5218789,CELG
3542107,CPFL PAULISTA
4212809,CELESC DIST
3542602,ELEKTRO
3304524,AMPLA
4216305,CELESC DIST
4316501,CERTEL DIST
4321204,RGE SUL
3520103,CPFL PAULISTA
4115754,COPEL DISTRIB
4112108,COPEL DISTRIB
4215703,CELESC DIST
4117107,COPEL DISTRIB
3152808,CEMIG DISTRIB
2400208,COSERN
2603009,CELPE
3134004,CEMIG DISTRIB
2602100,CELPE
4122701,COPEL DISTRIB
4123808,COPEL DISTRIB
4128534,COPEL DISTRIB
4210605,CELESC DIST
1100148,ENERGISA RO
5222302,CELG
5006309,ENERGISA MS
2502151,ENERGISA PB
3523206,ELEKTRO
3532207,ELEKTRO
4106308,COPEL DISTRIB
2932606,COELBA
4318408,CEEE DISTRIB
2614105,CELPE
2516201,ENERGISA PB
2208007,CEPISA
2910701,COELBA
5105101,ENERGISA MT
3514601,CPFL PAULISTA
1301902,AMAZONAS ENERG
3139003,CEMIG DISTRIB
4113502,COPEL DISTRIB
3532801,CERRP ACL
4126256,COPEL DISTRIB
1100924,ENERGISA RO
1506583,CELPA
3537602,ELEKTRO
2609907,CELPE
3521903,ENERGISA SS
3119302,CEMIG DISTRIB
3170404,CEMIG DISTRIB
4119806,COPEL DISTRIB
3552106,CPFL PAULISTA
4110508,COPEL DISTRIB
2307403,COELCE
5000708,ENERGISA MS
3511300,CPFL PAULISTA
2101251,CEMAR
3205010,ESCELSA
4204350,CELESC DIST
3303203,LIGHT
3510807,CPFL JAGUARI
3164704,CEMIG DISTRIB
1506161,CELPA
4126702,COPEL DISTRIB
5105507,ENERGISA MT
4201901,CELESC DIST
5002902,ENERGISA MS
3144300,CEMIG DISTRIB
3515186,CPFL PAULISTA
4113601,COPEL DISTRIB
2302206,COELCE
2603702,CELPE
4207577,CELESC DIST
2914703,COELBA
4209177,CELESC DIST
4124400,COPEL DISTRIB
3205036,ESCELSA
5006002,ENERGISA MS
4313706,RGE SUL
1720903,ENERGISA TO
5107065,ENERGISA MT
2807105,ENERGISA SE
3143906,ENERGISA MR
2806701,ENERGISA SE
3538105,CPFL PAULISTA
2311801,COELCE
4302402,RGE SUL
4321600,CEEE DISTRIB
4313060,RGE SUL
2513901,ENERGISA PB
4111258,COPEL DISTRIB
4200408,CELESC DIST
2707701,CEAL
5002001,ENERGISA MS
5220108,CELG
3113404,CEMIG DISTRIB
4127957,COPEL DISTRIB
5106505,ENERGISA MT
4321709,RGE SUL
2919926,COELBA
3514908,CPFL PAULISTA
4112751,COPEL DISTRIB
3102902,CEMIG DISTRIB
4312252,CEEE DISTRIB
3530409,CPFL PAULISTA
3157104,CEMIG DISTRIB
3306206,LIGHT
3539004,CPFL PAULISTA
3152600,CEMIG DISTRIB
3124104,CEMIG DISTRIB
5219258,CELG
3152709,CEMIG DISTRIB
5106109,ENERGISA MT
5005681,ENERGISA MS
2916856,COELBA
4311627,RGE SUL
2920007,COELBA
3505807,ENERGISA SS
4212205,CELESC DIST
4218608,CELESC DIST
1711902,ENERGISA TO
4103602,COPEL DISTRIB
